[2026-06-22 15:00:00] [FEATURE] Scaffold inicial | crea estructura agentic/ + installer/ + system/ + docs/ + logs/ (v0.1.0) | modelo: claude-opus-4-8
[2026-06-23 00:00:00] [FEATURE] A4 headers seguridad + error pages (v1.1) | Core\Security (nosniff/SAMEORIGIN/Referrer/Permissions/CSP, HSTS en https) aplicadas en App kernel, vistas errors/404 y 500 + layout error, Router/App renderizan vistas; +7 tests (56/56); smoke: 5 headers en respuesta real + 404 estilizada OK | modelo: claude-opus-4-8
[2026-06-23 00:30:00] [FEATURE] A5 assets locales (v1.1 COMPLETA) | Tailwind standalone compila app.css 28KB (solo clases usadas), Alpine+Chart.js vendorizados, Core\Assets (modo local/cdn + head()), CSP endurecida sin origenes externos en local, cli-server sirve estaticos, tools/build-css.sh + gitignore binario, excluido del zip; +6 tests (62/62); smoke: assets 200 servidos | modelo: claude-opus-4-8
[2026-06-23 01:00:00] [FEATURE] B1 generador de modulos CRUD (v1.2) | ModuleScaffold (helpers testeables), make-module.php (migracion+modelo+controller+vistas+rutas+menu), routes/ glob + modules_menu.php data-driven, skill module-generator + comando /nuevo-modulo; +7 tests (69/69); demo Producto generado y CRUD e2e OK (crear/editar/borrar/menu); modulo demo conservado a pedido | modelo: claude-opus-4-8
[2026-06-23 01:30:00] [FEATURE] B2 migraciones rollback (v1.2) | App\Services\Migrator (parse @DOWN, migrate/rollback/status/fresh), migrate.php con subcomandos, @DOWN agregado a las 7 migraciones base + generador; +3 tests (72/72); smoke: status OK, ciclo migrate/rollback aislado OK, base intacta | modelo: claude-opus-4-8
[2026-06-23 02:00:00] [FEATURE] B3 busqueda+paginacion (v1.2) | App\Services\Paginator (meta pura + paginate con LIKE), partials search/pagination, integrado en perfiles, generador emite search+paginacion en modulos nuevos; +8 tests (80/80); smoke: search/Sin resultados/Mostrando OK, modulo generado con paginacion OK | modelo: claude-opus-4-8
[2026-06-23 02:30:00] [FEATURE] B4 settings generales (v1.2) | App\Services\AppSettings (name/tagline/timezone/logo, fallback env, resiliente), SettingsController (nombre+tagline+TZ+logo upload), vista, kernel aplica TZ, layouts/login/home usan AppSettings (logo o badge), gitignore logo; +5 tests (85/85); smoke: cambio nombre reflejado + revert OK | modelo: claude-opus-4-8
[2026-06-23 03:00:00] [FEATURE] B5 auditoria (v1.2) | migracion audit_log, App\Services\Audit (best-effort, admin+IP), AuditController + visor con busqueda/paginacion, integrado en AuthController(login/login_failed/logout), AdminUser CRUD, Profile password, Settings; +2 tests (87/87); smoke: login/login_failed/settings.update registrados OK | modelo: claude-opus-4-8
[2026-06-23 03:30:00] [FEATURE] B6 /sprint+/release (v1.2 COMPLETA) | comandos sprint/release, skills sprint-manager/release-manager, agentes pm/, plantillas sprint+release-notes, docs/CHANGELOG.md, INDEX/README actualizados; +6 tests estructura agentica (93/93); capa agentica: 10 comandos/19 skills/18 agentes/7 templates | modelo: claude-opus-4-8
[2026-06-23 04:00:00] [FEATURE] C1 API REST (v1.3) | migracion api_tokens, ApiToken service (Bearer hash + validate/revoke), Api\ApiController (auth Bearer + JSON) + ResourceController (CRUD generico desde config/api.php), ApiTokenController + visor panel, rutas /api + /admin/api-tokens; +1 test (94/94); smoke e2e: 401 sin token, CRUD completo con Bearer (POST201/GET/PUT/DELETE) OK | modelo: claude-opus-4-8
[2026-06-23 04:30:00] [FEATURE] C2 RBAC (v1.3) | config/permissions.php (roles superadmin/admin/editor/viewer), App\Services\Rbac (can/roles/permissionsFor), requirePermission en AdminController + guards en AdminUser/Settings/ApiToken/Audit/Backup, menu filtrado por permiso, RoleController+visor, selector de rol; pagina 403; +6 tests (100/100); smoke: viewer 403 en perfiles/settings/audit + dashboard 200, superadmin 200 | modelo: claude-opus-4-8
[2026-06-23 05:00:00] [FEATURE] C3 cron jobs internos + lock (v1.3) | config/jobs.php (demo:ping/cache:clear/backup:run), App\Services\Jobs (run/has/names), CronRunner ejecuta job:<n> ademas de shell + flock anti-solapamiento en runDue, datalist en form; +5 tests (105/105); smoke: demo:ping->pong, despachador OK | modelo: claude-opus-4-8
[2026-06-23 05:30:00] [FEATURE] C4 emails plantillas+cola (v1.3) | migracion email_queue, plantillas emails/layout+notification, Mailer::render+queue, EmailQueue (push/process/reintentos/counts), job email:queue, MailController queue+process+guard mail.manage, vista cola+link; +4 tests (109/109); smoke: render OK, job procesa, /admin/mail/queue 200 | modelo: claude-opus-4-8
[2026-06-23 06:00:00] [FEATURE] C5 file manager mejorado (v1.3) | config/files.php (whitelist ext + max 5MB), FileManager upload valida ext/size + rename/move (anti-traversal) + isImage, FilesController raw inline + rename/move + guard files.manage, vista con miniaturas + botones; +9 tests (118/118); smoke: botones OK, upload .php rechazado, raw traversal 404 | modelo: claude-opus-4-8
[2026-06-23 06:30:00] [FEATURE] C6 IA prompts+system prompt (v1.3 COMPLETA) | config/prompts.php, App\Services\PromptLibrary (render {{var}}), AiConnector withSystem + chatPrompt + system_prompt en config/inyeccion, AiController guarda system_prompt + muestra libreria; streaming diferido (cliente no-streaming, doc); +7 tests (125/125); smoke: system prompt reflejado + render OK + panel OK | modelo: claude-opus-4-8
[2026-06-23 07:00:00] [FEATURE] D1 instalador interactivo (v1.4) | App\Services\Installer (buildEnv desde .env.example + stackDoc + summary), CLI install.php (--dry-run/--force, no pisa .env existente), skill installer + comando /instalar; +4 tests (129/129); smoke: dry-run genera .env con respuestas, .env real intacto, sin --force rechaza | modelo: claude-opus-4-8
[2026-06-23 07:30:00] [FEATURE] D2 seeders demo (v1.4) | App\Services\DemoSeeder (seed/undo/isSeeded idempotente: 2 admins editor/viewer + 2 cron demo), CLI seed-demo.php (--undo), README; +1 test (130/130); smoke: carga/idempotente/undo OK | modelo: claude-opus-4-8
[2026-06-23 08:00:00] [FEATURE] D3 modulo showcase (v1.4) | modulo Clientes generado con /nuevo-modulo (nombre/email/telefono/direccion/activo), registrado en API config/api.php, docs/modules/clientes.md, generador con stamp date() unico; +3 tests (133/133); smoke e2e: web CRUD + API GET/POST/DELETE con Bearer OK | modelo: claude-opus-4-8
[2026-06-23 08:30:00] [FEATURE] D4 deploy + Release 1.4.0 (v1.4 + ROADMAP COMPLETO) | App\Services\Deployer (filesToDeploy con exclusiones, ftpDeploy, gitCommands), CLI deploy.php (dry-run default, --run opt-in), skill deployer + /deploy; +4 tests (137/137); VERSION=1.4.0, CHANGELOG, README, landing+zip a 1.4.0; verificacion global: 165 php lint OK, smoke / /health /admin OK | modelo: claude-opus-4-8
[2026-06-23 09:00:00] [FEATURE] H1 streaming IA SSE (v1.5) | Http::postStream (curl WRITEFUNCTION por lineas), AiConnector::parseSseLine + chatStream, AiController::stream (text/event-stream + flush), ruta /admin/ai/stream, UI EventSource en panel; +5 tests (142/142); smoke: content-type SSE + event:error sin key + UI OK; cierra diferido C6 | modelo: claude-opus-4-8
[2026-06-23 09:30:00] [FEATURE] H3 dark mode (v1.5) | theme.css (overrides .dark de utilidades comunes, sin recompilar Tailwind), Assets::head link theme + init anti-flash localStorage, toggle en header backend; +4 tests (146/146); smoke: theme.css 200, login+backend con theme+init+toggle OK | modelo: claude-opus-4-8
[2026-06-23 10:00:00] [FEATURE] H4 flags+health + Release 1.5.0 (v1.5 COMPLETA) | config/features.php, FeatureFlags (defaults+override settings), Health (summary/full), /health ampliado, HealthController+panel Estado, flags en Settings + banner mantenimiento; +4 tests (150/150); e2e: /health 1.5.0, flag toggle->banner OK; VERSION=1.5.0, CHANGELOG, zip+landing 1.5.0; global 173 php lint OK | modelo: claude-opus-4-8
[2026-06-23 11:00:00] [FEATURE] E1 relaciones FK en generador (v1.6) | ModuleScaffold tipo fk + parseRelations, RelationOptions (label column + opciones id=>etiqueta, anti-injection), make-module: FK constraint en migracion + select poblado en form + etiqueta resuelta en indice + cast fk; +8 tests (158/158); e2e: modulo Pedido con cliente_id:fk:clientes, FK aplicada, select con ACME SA, indice muestra etiqueta | modelo: claude-opus-4-8
[2026-06-23 12:00:00] [FEATURE] E2 validaciones por campo (v1.6) | App\Services\Validator (required/email/numeric/integer/unique, anti-injection), ModuleScaffold::parseRules (derivadas de tipo + explicitas), make-module: const RULES + Validator en store/update + flash errors/old + form repobla y muestra errores; +7 tests (165/165); e2e modulo Contacto: invalido muestra errores+repobla, valido entra, email duplicado rechazado por unique | modelo: claude-opus-4-8
[2026-06-23 13:00:00] [FEATURE] E3 exportar listados (v1.6) | App\Servicesxporter (csv con BOM+fputcsv, excelHtml .xls, printableHtml auto-print=PDF por navegador, filename), Response::download (attachment + sanitize), make-module: accion export + ruta + botones CSV/Excel/PDF + resuelve etiquetas fk; +6 tests (171/171); e2e Contacto: CSV attachment text/csv, Excel vnd.ms-excel, PDF window.print | modelo: claude-opus-4-8
[2026-06-23 14:00:00] [FEATURE] E4 soft-delete + papelera (v1.6) | Paginator opt filter (AND), make-module: columna deleted_at, destroy soft (UPDATE deleted_at=NOW), index filtra deleted_at IS NULL, trash()/restore()/forceDestroy() + rutas + vista papelera (Restaurar/Eliminar definitivo) + link Papelera, export filtra borrados; +2 tests (173/173); e2e modulo Nota: ciclo crear->papelera->restaurar->eliminar definitivo OK | modelo: claude-opus-4-8
[2026-06-23 15:00:00] [FEATURE] E5 busqueda global + Track E COMPLETO 1.6.0 (v1.6) | App\Services\GlobalSearch (recorre modules_menu, introspeccion columnas texto, agrupa, filtra deleted_at, anti-injection), SearchController + vista admin/search + buscador topbar + ruta /admin/search; +8 tests (178/178); e2e: buscar Ana -> Ana Lopez agrupado, inexistente -> Sin resultados; VERSION=1.6.0 + CHANGELOG | modelo: claude-opus-4-8
[2026-06-23 16:00:00] [FEATURE] F1 2FA/TOTP (v1.7) | App\Services\Totp (RFC6238 HMAC-SHA1, base32, verify ventana), migracion totp_secret/totp_enabled en admin_users, Auth::verifyCredentials (sin login), AuthController challenge (show2fa/verify2fa) + pending session, TwoFactorController setup/enable/disable, secreto cifrado con Crypto, vistas challenge+setup, link en perfil; +7 tests vectores RFC (185/185); e2e: activar->login pide codigo->malo rechazado->bueno entra->desactivar | modelo: claude-opus-4-8
[2026-06-23 17:00:00] [FEATURE] F2 RBAC editable + permisos por usuario (v1.7) | config catalog de permisos, Rbac: override de rol (settings rbac_roles JSON) + tabla user_permissions (allow/deny) + can() con precedencia usuario>rol + setters, RoleController editable (matriz checkboxes + save), UserPermissionController tri-estado + link Permisos en users; migracion user_permissions; +3 tests (188/188); e2e: guardar viewer+files.manage reflejado, paginas render OK | modelo: claude-opus-4-8
[2026-06-23 18:00:00] [FEATURE] F3 notificaciones in-app (v1.7) | App\Services\Notifier (notify/notifyAll/unreadCount/forUser/markRead/markAllRead, best-effort), migracion notifications, NotificationController bandeja + read/read-all, campanita con badge en topbar (Alpine dropdown), notifyAll al crear admin; +2 tests (190/190); e2e: campanita+badge, bandeja lista, marcar leidas->0 | modelo: claude-opus-4-8
[2026-06-23 19:00:00] [FEATURE] F4 auditoria con diff + Track F COMPLETO 1.7.0 (v1.7) | Audit::diff (campos cambiados, ignora password/timestamps) + logChange (JSON), migracion columna changes en audit_log, AdminUser update registra before/after, visor muestra old(tachado)->new; +4 tests (194/194); e2e: editar admin role viewer->editor muestra diff; VERSION=1.7.0 + CHANGELOG | modelo: claude-opus-4-8
[2026-06-23 20:00:00] [FEATURE] G1 API+ (v1.8) | Model::tableName, migraciones scopes en api_tokens + rate_limits, RateLimiter (ventana fija fail-open), ApiToken resolve/normalizeScopes/generate(scopes), ApiController authenticate(scope)+rate-limit (401/403/429), ResourceController index con paginacion+filtros+q+orden whitelisted + scope read/write en mutaciones, select de scope en alta token; +2 tests (196/196); e2e: paginado/filtro/scope403/201/401/429 OK | modelo: claude-opus-4-8
[2026-06-23 21:00:00] [FEATURE] G2 OpenAPI/Swagger (v1.8) | App\Services\OpenApiGenerator (spec 3.0.3 desde config/api.php: paths CRUD por recurso, schemas, bearerAuth, params paginacion), Api\DocsController openapi()+ui() visor self-contained sin deps, rutas /api/openapi + /api/openapi.json + /api/docs (antes del wildcard), link doc en panel API; +4 tests (200/200); e2e: spec con /clientes+bearerAuth, visor lista metodos, fix cli-server intercepta .json -> ruta sin extension | modelo: claude-opus-4-8
[2026-06-23 22:00:00] [FEATURE] G3 cola de jobs generalizada (v1.8) | migracion jobs, contrato App\Jobs\Job + LogJob demo + config/job_handlers, App\Services\JobQueue (push/work/reserve lock optimista/run con reintentos+backoff lineal/retry/forget/stats/recent), CLI console/queue.php, job interno cron queue:work, JobQueueController panel (stats+retry+forget+procesar ahora) + ruta + menu; +4 tests (204/204); e2e: encolar demo:log -> worker CLI ok -> log escrito -> panel muestra done | modelo: claude-opus-4-8
[2026-06-23 23:00:00] [FEATURE] G4 webhooks salientes + Track G COMPLETO 1.8.0 (v1.8) | Http::postRaw, migracion webhooks, App\Services\Webhook (subscribe/all/toggle/delete/dispatch + sign HMAC-SHA256), WebhookDeliverJob (POST firmado via cola, throw si no-2xx), handler webhook:deliver, WebhookController panel (alta/toggle/delete/ping) + ruta + menu, evento admin.created; +3 tests (207/207); e2e con receptor real: dispatch->worker entrega POST->HMAC valido->job done; VERSION=1.8.0 + CHANGELOG + zip+landing; global 233 php lint OK | modelo: claude-opus-4-8
[2026-06-27 10:00:00] [FEATURE] I1 conector IA proveedor Anthropic/Claude (v1.9) | AiConnector: PROVIDERS con style (openai/anthropic) + anthropic base/messages model claude-haiku-4-5, config expone style, splitSystem (system aparte), buildRequest (OpenAI chat/completions Bearer vs Anthropic /messages x-api-key+anthropic-version+max_tokens), extractContent por estilo, parseSseAnthropic (content_block_delta) + parseSseToken dispatcher, chat()/chatStream() style-aware; selector UI lista anthropic auto; +6 tests (213/213); e2e: provider=anthropic arma /v1/messages, falla graceful sin key, ai_log provider=anthropic | modelo: claude-opus-4-8
[2026-06-27 11:00:00] [FEATURE] I2 Cronmaster v2 (v1.9) | App\Services\ScheduleBuilder (fromPreset minutes/hourly/daily/weekly/monthly + describe humano), migracion priority+timeout en cron_tasks, CronRunner v2 (throttle por settings cron.min_interval/last_tick + orden por prioridad DESC + set_time_limit por tarea), CronController/CronTask leen priority/timeout, form con constructor de horario Alpine (cronBuilder parse/build/describe) + campos prioridad/timeout, index muestra describe()+badge prioridad; +9 tests (222/222); e2e: crear tarea 30 3 * * * -> Todos los dias a las 03:30, prio/timeout guardados | modelo: claude-opus-4-8
[2026-06-27 12:00:00] [FEATURE] I3 archivos links publicos por token (v1.9) | migracion file_shares, App\Services\FileShare (share idempotente/unshare/byToken anti-formato/byPath/map/countDownload), PublicFileController /a/{token} descarga sin login (attachment), FilesController share/unshare + map a la vista, rutas, UI toggle Compartir/No compartir + badge publico + link; +2 tests (224/224); e2e: compartir->/a/{token} 200 sin login devuelve contenido, token invalido 404 | modelo: claude-opus-4-8
[2026-06-27 13:00:00] [FEATURE] I4 avisos/alertas + Track I COMPLETO 1.9.0 (v1.9) | App\Alerts\AlertProvider (contrato), App\Services\AlertService (recolecta providers + ordena por severidad danger/warning/info), 4 providers (FailedJobs/FailedCron/PendingQueue/OldBackup), config/alert_providers.php, DashboardController pasa alerts, widget en dashboard con estilos por severidad; +4 tests (228/228); e2e: job failed -> alerta danger en dashboard; VERSION=1.9.0 + CHANGELOG + zip+landing; global 249 php lint OK | modelo: claude-opus-4-8
[2026-06-28 11:45:00] [UI] Rediseno del sidebar del backend | layout flex h-screen (sidebar con scroll propio, fin del overflow bajo el footer), Core\Icons (heroicons SVG inline) + iconos por item en config/menu.php, drawer responsive mobile + rail colapsable a solo-iconos en desktop (Alpine adminShell + admin.css + anti-flash localStorage sb_collapsed), footer en main, app.css recompilado 28->32KB; 228/228 tests OK; smoke: 0 warnings, 18 items, css 200 | modelo: claude-opus-4-8
[2026-06-28 12:30:00] [UI] Flyouts en sidebar colapsado | en modo rail cada grupo es un icono (group icon en config/menu.php) y al hover despliega un flyout lateral con sus items (Alpine x-show collapsed&&desktop&&hover + posicion fixed via getBoundingClientRect, sin recorte: aside lg:transform-none para que fixed sea viewport-relative), adminShell.desktop reactivo (matchMedia), Core\Icons render h-4, admin.css rail/groupfull; app.css recompilado; 228/228 tests, smoke: 6 grupos rail+flyout, 0 warnings | modelo: claude-opus-4-8
[2026-06-28 13:15:00] [FIX] Menu desaparecia en desktop | causa: Tailwind v4 usa la propiedad translate (no transform) y NO genero el variant lg:translate-x-0, asi el -translate-x-full base quedaba en desktop empujando el sidebar fuera de pantalla. Fix: aside sin clases translate base, transform manejado por Alpine via :class=(open||desktop)?translate-x-0:-translate-x-full (clases base que si existen) + adminShell.desktop reactivo (matchMedia). app.css recompilado. Verificado con admin temporal: /admin 200, 21 items, 6 flyouts, 0 warnings | modelo: claude-opus-4-8
[2026-06-28 14:30:00] [FEATURE] Ajustes UX/Auth/Version | (1) password admin reseteado a admin1234 user=admin; (2) toasts: mensajes flash success/error como toast abajo-derecha con barra de progreso animada + autodismiss (layout lee $success/$error -> toasts() Alpine; quitados 31 bloques inline de vistas + generador); (3) login dual usuario-o-email (Auth match email OR username, campo login); (4) login unico con user_type + UserTypes registry (config/user_types) para futuros perfiles (cliente/deposito/vendedor); (5) versionado dual core(VERSION nsSkeleton)+app(APP_VERSION/.env + settings app.version) via App\Services\Version, footer + /health + panel Estado + campo editable en Configuracion; migracion username+user_type en admin_users; 228/228 tests | modelo: claude-opus-4-8
[2026-06-28 15:10:00] [FIX] Bugs del flyout del menu | (a) el flyout aparecia en modo expandido y no cerraba: ahora el hover se dispara SOLO desde el icono del rail (display:none cuando expandido -> no se dispara) y cierra con defer(); x-show gated fly&&collapsed&&desktop. (b) imposible clickear el submenu al cruzar el hueco: se agrego delay de cierre 220ms (defer/keep con clearTimeout) + el flyout mantiene abierto al @mouseenter + leve solapamiento left-[4.75rem] sobre el rail de 5rem -> region de hover continua. mouseenter/mouseleave movidos del wrapper al rail+flyout. app.css recompilado; 228 tests | modelo: claude-opus-4-8
[2026-06-28 16:00:00] [CHANGE] Limpieza modulos demo + WYSIWYG + logo link | (1)(2) ELIMINADOS modulos no-core: productos/articulos_tmp/pedidos/contactos/notas (modelos+controllers+rutas+vistas+migraciones+tablas DROP+tracking+modules_menu); se mantiene clientes; quitado grupo Catalogo de config/menu y recurso productos de config/api. (3) editor WYSIWYG nativo (contenteditable+execCommand, sin deps, cross-browser): partial reutilizable partials/wysiwyg.php + componente wysiwyg() en layout + estilos admin.css; integrado al generador (campos text -> editor visual). (4) logo del sidebar linkea al dashboard (/admin). 170 php lint OK; suite 227 PASS 1 SKIP (test contactos se saltea) | modelo: claude-opus-4-8
[2026-06-28 17:00:00] [FEATURE] Dashboard showcase/plantilla | DashboardController reescrito: 8 KPIs (admins/cron/jobs/emails/backups/webhooks/api/audit con icono+sub+link), 6 graficos (recursos bar, emails doughnut+linea 7d, jobs doughnut, tipos de usuario doughnut, actividad 7d bar), AlertService alertas, Health::full estado, novedades simuladas (feed), actividad reciente (audit) + jobs recientes, galeria de 12 modulos del core (filtrada por permiso). Vista rica con secciones + color map (badges violet/cyan/rose). app.css recompilado; 227/1skip; smoke: 200, 8 KPIs, 6 canvas, 12 cards, 0 warnings | modelo: claude-opus-4-8
[2026-06-28 18:00:00] [FEATURE] Seeds demo completos + presets de dashboard | (1) DemoSeeder reescrito: pobla 8 tablas (4 admins con user_types, 3 cron, 8 clientes, 42 emails 7d, 28 jobs, 32 audit, 4 notifs, 2 webhooks, 2 tokens), idempotente (no-op si ya sembrado) + undo() reversible por marcadores [demo]/@demo.local; CLI seed-demo.php; integrado a install.php como paso opcional. (2) presets de dashboard: config/dashboard.php (completo/operativo/showcase/minimo) + App\Services\Dashboard (active via settings dashboard.preset) + bloques extraidos a partials/dashboard/{alerts,kpis,charts,feed,recent,modules} + selector en Configuracion. DB sembrada para ver el dashboard vivo. 237 PASS 1 SKIP | modelo: claude-opus-4-8
[2026-06-28 19:00:00] [FEATURE] Breadcrumb de navegacion (core backend) | App\Services\Breadcrumb::trail(reqPath) deriva Inicio>Grupo>Modulo>Accion desde la ruta + config/menu.php + modules_menu.php (match por prefijo mas largo) + EXTRA (profile/notifications/security-2fa/search) + ACTIONS (create=Nuevo/edit=Editar/permissions=Permisos/trash=Papelera/export/log/queue); integrado en layouts/admin.php (calculado tras $reqPath, oculto en dashboard, sobreescribible con $breadcrumb); +7 tests (244 PASS 1 SKIP); e2e: users>edit, cron>create>Nuevo, clientes, mail>log>Historial, profile, security 2FA OK. FIX: $crumbs se calculaba antes de $reqPath -> warning/500, movido despues | modelo: claude-opus-4-8
[2026-06-28 19:30:00] [FEATURE] Breadcrumb: nombre del registro | Breadcrumb::trail(reqPath, $extra?) agrega el registro como ultima miga (Editar > Nombre); layout lee $breadcrumbExtra; cableado en AdminUser/UserPermission/Cron/Cliente edit + generador (campo etiqueta = primer string/text o id); +2 tests (246 PASS 1 SKIP); e2e: editar admin -> ...Editar>Editor Demo, permisos -> Permisos>Editor Demo | modelo: claude-opus-4-8
[2026-06-28 20:15:00] [REMOVE] Modulo Clientes eliminado (no-core) | borrados: Models/Cliente.php, Controllers/Admin/ClienteController.php, Views/admin/clientes/, config/routes/clientes.php, migration create_clientes, tabla clientes (DROP). Limpiado: menu.php (grupo Usuarios), api.php (recurso clientes -> 0 recursos core), modules_menu.php (vacio), DemoSeeder (siembra+undo clientes), DashboardController (stat clientes). Tests: borrado ShowcaseModuleTest; BreadcrumbTest caso clientes->Configuracion/IA; OpenApiTest robusto a 0 recursos. core-lock.json regenerado. 262 PASS 1 SKIP. NOTA: admin demo cliente1 (user_type cliente) se conserva. | modelo: claude-opus-4-8
